Year,County,AgeCat,fpPopulation,Population,dif,pctDiff
2011,53001,0-17,6758.206,6802.521,-44.315,-0.007
2012,53001,0-17,6822.613,6913.486,-90.873,-0.013
2013,53001,0-17,6925.46,7064.398,-138.938,-0.02
2014,53001,0-17,7063.578,7249.954,-186.376,-0.026
2015,53001,0-17,7320.707,7553.24,-232.533,-0.031
2016,53001,0-17,7214.202,7482.375,-268.173,-0.036
2017,53001,0-17,7229.135,7535.885,-306.75,-0.041
2018,53001,0-17,7161.356,7501.558,-340.201,-0.045
2019,53001,0-17,7067.927,7452.364,-384.437,-0.052
2020,53001,0-17,7052.613,7481.816,-429.202,-0.057
2011,53003,0-17,4595.332,4598.453,-3.121,-0.001
2012,53003,0-17,4496.507,4502.005,-5.498,-0.001
2013,53003,0-17,4487.355,4496.585,-9.23,-0.002
2014,53003,0-17,4513.995,4524.75,-10.754,-0.002
2015,53003,0-17,4541.154,4555.933,-14.779,-0.003
2016,53003,0-17,4554.078,4570.381,-16.303,-0.004
2017,53003,0-17,4547.263,4567.993,-20.73,-0.005
2018,53003,0-17,4532.697,4552.222,-19.525,-0.004
2019,53003,0-17,4544.265,4569.834,-25.569,-0.006
2020,53003,0-17,4544.481,4574.825,-30.344,-0.007
2011,53005,0-17,47862.446,47677.257,185.189,0.004
2012,53005,0-17,48017.965,47653.62,364.345,0.008
2013,53005,0-17,48794.813,48243.09,551.723,0.011
2014,53005,0-17,49473.084,48716.272,756.812,0.016
2015,53005,0-17,50017.786,49056.692,961.094,0.02
2016,53005,0-17,50771.055,49583.022,1188.032,0.024
2017,53005,0-17,51660.442,50282.397,1378.046,0.027
2018,53005,0-17,52656.796,51098.686,1558.11,0.03
2019,53005,0-17,53768.967,52060.679,1708.288,0.033
2020,53005,0-17,54763.636,52905.857,1857.779,0.035
2011,53007,0-17,17845.718,17875.782,-30.064,-0.002
2012,53007,0-17,17718.358,17774.858,-56.5,-0.003
2013,53007,0-17,17609.103,17689.205,-80.102,-0.005
2014,53007,0-17,17589.406,17689.024,-99.618,-0.006
2015,53007,0-17,17645.016,17771.294,-126.278,-0.007
2016,53007,0-17,17772.734,17926.51,-153.776,-0.009
2017,53007,0-17,17842.001,18032.453,-190.452,-0.011
2018,53007,0-17,17883.063,18094.027,-210.964,-0.012
2019,53007,0-17,17850.986,18088.102,-237.117,-0.013
2020,53007,0-17,17931.632,18208.087,-276.455,-0.015
2011,53009,0-17,12746.952,12807.426,-60.474,-0.005
2012,53009,0-17,12589.415,12709.104,-119.689,-0.009
2013,53009,0-17,12493.735,12670.327,-176.593,-0.014
2014,53009,0-17,12398.635,12632.636,-234.0,-0.019
2015,53009,0-17,12346.147,12638.648,-292.501,-0.023
2016,53009,0-17,12478.415,12840.081,-361.666,-0.028
2017,53009,0-17,12513.911,12943.672,-429.761,-0.033
2018,53009,0-17,12535.757,13035.201,-499.444,-0.038
2019,53009,0-17,12560.828,13126.404,-565.576,-0.043
2020,53009,0-17,12532.453,13156.86,-624.407,-0.047
2011,53011,0-17,111378.161,111100.724,277.437,0.002
2012,53011,0-17,110781.432,110233.633,547.799,0.005
2013,53011,0-17,110529.795,109708.529,821.266,0.007
2014,53011,0-17,110990.904,109872.545,1118.359,0.01
2015,53011,0-17,111971.789,110569.823,1401.966,0.013
2016,53011,0-17,112564.237,110840.206,1724.032,0.016
2017,53011,0-17,114009.46,112024.13,1985.33,0.018
2018,53011,0-17,114900.099,112647.237,2252.863,0.02
2019,53011,0-17,115928.227,113435.835,2492.391,0.022
2020,53011,0-17,117464.891,114726.131,2738.76,0.024
2011,53013,0-17,802.812,813.97,-11.158,-0.014
2012,53013,0-17,772.462,793.822,-21.361,-0.027
2013,53013,0-17,742.278,772.787,-30.51,-0.039
2014,53013,0-17,727.188,766.365,-39.177,-0.051
2015,53013,0-17,715.578,766.087,-50.509,-0.066
2016,53013,0-17,696.339,756.478,-60.139,-0.079
2017,53013,0-17,691.945,764.139,-72.194,-0.094
2018,53013,0-17,686.814,771.143,-84.328,-0.109
2019,53013,0-17,672.291,768.0,-95.709,-0.125
2020,53013,0-17,667.829,775.524,-107.695,-0.139
2011,53015,0-17,24371.509,24337.024,34.484,0.001
2012,53015,0-17,24149.85,24081.142,68.709,0.003
2013,53015,0-17,23948.134,23843.543,104.591,0.004
2014,53015,0-17,23830.672,23688.469,142.203,0.006
2015,53015,0-17,23831.522,23655.257,176.265,0.007
2016,53015,0-17,24017.19,23801.821,215.368,0.009
2017,53015,0-17,24251.135,24000.479,250.656,0.01
2018,53015,0-17,24512.294,24224.804,287.49,0.012
2019,53015,0-17,24794.932,24488.162,306.771,0.013
2020,53015,0-17,25133.045,24794.283,338.762,0.014
2011,53017,0-17,10321.515,10330.133,-8.619,-0.001
2012,53017,0-17,10213.63,10229.61,-15.98,-0.002
2013,53017,0-17,10155.007,10178.787,-23.78,-0.002
2014,53017,0-17,10204.964,10231.073,-26.109,-0.003
2015,53017,0-17,10189.366,10212.811,-23.445,-0.002
2016,53017,0-17,10369.756,10399.906,-30.15,-0.003
2017,53017,0-17,10471.273,10521.148,-49.876,-0.005
2018,53017,0-17,10587.848,10659.947,-72.099,-0.007
2019,53017,0-17,10676.235,10761.941,-85.707,-0.008
2020,53017,0-17,10856.292,10957.351,-101.059,-0.009
2011,53019,0-17,1449.41,1455.539,-6.129,-0.004
