Tract,Median Value,Difference,Franken,Ofm,Reference Line
53005012000,0,-0.007019096,0.007019096,0,0.007019096
53021020402,8.441995732,0.169392252,0.022761670,0.192153922,0.022761670
53033023702,37.656572896,2.811028008,0.076685511,2.887713518,0.076685511
53025011404,29.459188879,3.833756527,0.134710674,3.968467201,0.134710674
53033023806,8.771756048,1.749207596,0.225072376,1.974279972,0.225072376
53033032326,33.483730042,7.444669478,0.229181485,7.673850963,0.229181485
53033002500,27.038821302,10.174104227,0.390728294,10.564832521,0.390728294
53007960303,20.003168634,9.039492878,0.475683453,9.515176331,0.475683453
53033024602,11.355487960,5.660854635,0.546652621,6.207507256,0.546652621
53055960101,0,-1,1,0,1
53033022901,6.748169392,6.684763048,1.162937727,7.847700776,1.162937727
53021020801,3.608003725,3.045676546,1.167819094,4.21349564,1.167819094
53033022703,5.620227111,5.536985124,1.198422716,6.735407840,1.198422716
53033023902,2.288033217,1.721073775,1.336202943,3.057276718,1.336202943
53033025008,6.175385897,7.249407441,1.400747226,8.650154668,1.400747226
53033006500,13.071282685,17.443207783,1.445016925,18.888224708,1.445016925
53033022805,2.448503438,2.096914509,1.447642066,3.544556575,1.447642066
53001950302,0.005584504,-1.721514998,1.731182796,0.009667797,1.731182796
53021020404,1.468355146,1.000548474,2.136302935,3.136851409,2.136302935
53021020403,0.334329619,-1.440544129,2.164050212,0.723506083,2.164050212
53033032328,4.577558016,7.781138256,2.174985904,9.956124161,2.174985904
53021020103,0,-2.273080690,2.273080690,0,2.273080690
53033024905,6.918657384,13.712665181,2.316854025,16.029519206,2.316854025
53033024100,3.753330376,6.479885937,2.353471996,8.833357933,2.353471996
53015980000,3.894263609,6.938700931,2.397397704,9.336098635,2.397397704
53033032215,1.880326008,2.123149742,2.411776686,4.534926428,2.411776686
53033032318,4.408743434,8.503063745,2.494486285,10.997550029,2.494486285
53007960302,2.005224281,3.126645265,3.110395683,6.237040948,3.110395683
53061050600,1.228873164,0.712529085,3.113205022,3.825734106,3.113205022
53001950400,0,-3.155017921,3.155017921,0,3.155017921
53007960801,2.177794308,3.735268732,3.171410072,6.906678804,3.171410072
53073011000,1.690420718,2.194566604,3.178593206,5.373159810,3.178593206
53033029702,7.818305343,21.765134588,3.192161907,24.957296495,3.192161907
53033023404,1.544826322,1.758815625,3.228213388,4.987029013,3.228213388
53033032333,3.851668203,9.459712405,3.317255631,12.776968035,3.317255631
53007961301,0,-3.351453237,3.351453237,0,3.351453237
53035090700,3.456270607,8.628817721,3.512975198,12.141792919,3.512975198
53033023807,1.927924093,3.264126256,3.517665162,6.781791418,3.517665162
53033022204,3.037718745,7.340453327,3.602289740,10.942743067,3.602289740
53029971302,0.320186627,-2.476164642,3.642418261,1.166253619,3.642418261
53033022203,2.873879946,6.933843689,3.700260363,10.634104051,3.700260363
53001950301,4.356979095e-05,-3.726540137,3.726702509,0.000162372,3.726702509
53005011600,0.012651095,-3.963256214,4.014038193,0.050781979,4.014038193
53025011405,0.165753343,-3.475116913,4.165574872,0.690457959,4.165574872
53033024200,1.758343325,3.161738358,4.169270371,7.331008729,4.169270371
53033023808,2.920745311,8.027845763,4.179547239,12.207393002,4.179547239
53033007303,3.379587282,9.980956737,4.194406657,14.175363394,4.194406657
53033032327,0.227367441,-3.260522059,4.220016384,0.959494325,4.220016384
53033023701,2.069915639,4.596348741,4.295991733,8.892340475,4.295991733
53063013502,1.531566280,2.307060652,4.340118509,6.647179162,4.340118509
53033023601,3.160305474,9.419222237,4.360134411,13.779356648,4.360134411
53033000500,1.550907503,2.404464486,4.364552076,6.769016561,4.364552076
53033023500,2.565549563,6.973580109,4.454397531,11.427977640,4.454397531
53033024500,2.827984493,8.144509371,4.455458678,12.599968049,4.455458678
53073000904,8.020030086,31.942616806,4.550210813,36.492827619,4.550210813
53033032224,0.528033604,-2.437379568,5.164307430,2.726927863,5.164307430
53033032207,1.859663714,4.442126173,5.167283557,9.609409730,5.167283557
53021020401,0.363901625,-3.306948920,5.198801080,1.891852160,5.198801080
53011040409,0.964061770,-0.187303772,5.211825197,5.024521425,5.211825197
53033002400,1.117248542,0.613670536,5.233928920,5.847599457,5.233928920
53033004101,0.738287384,-1.371590818,5.240828056,3.869237238,5.240828056
53033024400,1.339701534,1.786834176,5.260012088,7.046846264,5.260012088
53033023901,0.332743240,-3.534858181,5.297598157,1.762739976,5.297598157
53053072507,2.295847979,6.899248733,5.324118912,12.223367645,5.324118912
53033031709,3.649420944,14.138968071,5.336625764,19.475593834,5.336625764
53033004500,2.075929494,5.787867487,5.379411494,11.167278981,5.379411494
53037975203,1.065126003,0.351427277,5.396113125,5.747540402,5.396113125
53033022401,2.166370382,6.306983408,5.407359021,11.714342429,5.407359021
53033022300,0.935581202,-0.348996225,5.417614674,5.068618449,5.417614674
53033001100,3.232849348,12.098879008,5.418582771,17.517461779,5.418582771
53057950801,0.940642858,-0.322293751,5.429738396,5.107444645,5.429738396
53033024301,0.495870882,-2.738798406,5.432732027,2.693933621,5.432732027
53033025005,3.276023682,12.456433204,5.472892617,17.929325820,5.472892617
53033025201,2.832313429,10.038015793,5.478328999,15.516344792,5.478328999
53011042500,2.365428358,7.480921195,5.478809014,12.959730209,5.478809014
53055960301,0.244268389,-4.534389663,6,1.465610337,6
53035091002,0.967113724,-0.201034864,6.113032098,5.911997235,6.113032098
53061052120,3.417064055,14.999558615,6.205693466,21.205252081,6.205693466
53033022701,1.362589214,2.251849761,6.210470893,8.462320654,6.210470893
53073010900,0.863232224,-0.853758538,6.242395412,5.388636874,6.242395412
53033023805,0.574553030,-2.655815811,6.242413264,3.586597454,6.242413264
53033032322,1.153755240,0.960250301,6.245317556,7.205567857,6.245317556
53033007102,2.158008542,7.237139019,6.249642170,13.486781190,6.249642170
53033024704,1.234705231,1.467411101,6.252144856,7.719555956,6.252144856
53033032213,2.381250119,8.700549331,6.299039695,14.999589026,6.299039695
53075001000,0.179719376,-5.174378910,6.308059412,1.133680501,6.308059412
53007960202,1.011482845,0.072645019,6.326395683,6.399040702,6.326395683
53033032223,0.270053132,-4.619416754,6.328428760,1.709012006,6.328428760
53033032218,2.529809992,9.695534199,6.337737531,16.033271730,6.337737531
53033024901,0.740006780,-1.654740387,6.364552076,4.709811689,6.364552076
53033023100,1.623684673,3.970225009,6.365756894,10.335981902,6.365756894
53033011602,2.151199494,7.339707211,6.375703991,13.715411201,6.375703991
53033025601,2.431233723,9.128026882,6.377733235,15.505760117,6.377733235
53005010807,1.217366875,1.395755186,6.421195444,7.816950629,6.421195444
53007960501,0.423926044,-3.703007535,6.428007194,2.724999659,6.428007194
53033006200,1.489239880,3.150015600,6.438591230,9.588606831,6.438591230
53063013300,3.169527196,13.987428134,6.447224150,20.434652284,6.447224150
53077001601,0.972755699,-0.175977075,6.459225166,6.283248091,6.459225166
53033022402,0.970484182,-0.190912595,6.468145181,6.277232586,6.468145181
53077001802,0.859875267,-0.906894418,6.472051017,5.565156599,6.472051017
53021020102,0.882577550,-0.762118637,6.490399739,5.728281102,6.490399739
53033022501,1.554590675,3.602974844,6.496637985,10.099612829,6.496637985
53057940700,1.899651854,5.849804076,6.502297580,12.352101656,6.502297580
53033024302,0.841584461,-1.032297200,6.516388509,5.484091309,6.516388509
53061051914,3.348658706,15.576797067,6.632209706,22.209006773,6.632209706
53005010819,1.045665771,0.314065715,6.877486369,7.191552083,6.877486369
53011042900,2.179616768,8.484235404,7.192365886,15.676601290,7.192365886
53033024904,0.742311420,-1.855176818,7.199297763,5.344120945,7.199297763
53011040808,1.156501342,1.128106611,7.208287140,8.336393751,7.208287140
53061051912,1.799833259,5.765459143,7.208326329,12.973785471,7.208326329
53033000900,1.071711523,0.518535968,7.230859743,7.749395712,7.230859743
53033032216,0.888292332,-0.807805758,7.231426235,6.423620476,7.231426235
53033004600,1.505316715,3.668246599,7.259301927,10.927548526,7.259301927
53033005402,1.508425466,3.695750970,7.269012303,10.964763273,7.269012303
53033025702,1.126640493,0.924557427,7.300646119,8.225203546,7.300646119
53033022006,1.993358792,7.254390854,7.302890869,14.557281722,7.302890869
53033030102,2.901419591,13.894709710,7.307545254,21.202254964,7.307545254
53033006300,0.933558819,-0.487053836,7.330601675,6.843547840,7.330601675
53033023201,2.123823636,8.255244983,7.345676599,15.600921582,7.345676599
53033011700,2.683201282,12.379159617,7.354533143,19.733692760,7.354533143
53033003800,4.321561391,24.431678463,7.355480026,31.787158489,7.355480026
53033031910,2.066144143,7.848347908,7.361432279,15.209780187,7.361432279
53033007404,1.408987839,3.017558748,7.378113626,10.395672374,7.378113626
53033006900,1.659894495,4.872126982,7.383190832,12.255317814,7.383190832
53033024800,1.827401019,6.150514631,7.433535239,13.584049871,7.433535239
53033025001,0.891141145,-0.815167471,7.488297311,6.673129840,7.488297311
53073001102,0.888747308,-0.833161847,7.488914023,6.655752176,7.488914023
53061052010,1.886748876,6.678143924,7.531043014,14.209186939,7.531043014
53005011701,0.683629467,-2.382757099,7.531539280,5.148782181,7.531539280
53061050200,2.602407577,12.075504143,7.535850625,19.611354767,7.535850625
53033022606,2.795630059,13.636090293,7.594042116,21.230132409,7.594042116
53037975104,1.177861121,1.371625243,7.711776650,9.083401892,7.711776650
53033032311,2.762697242,13.669630031,7.754950599,21.424580630,7.754950599
53025010600,0.471757863,-4.130643228,7.819601915,3.688958687,7.819601915
53055960103,0.266730464,-5.866156286,8.000000000,2.133843714,8.000000000
53033028100,2.984609800,15.962957743,8.043373436,24.006331179,8.043373436
53037975103,0.319939697,-5.537121017,8.142102973,2.604981956,8.142102973
53057952404,0.981631689,-0.149578616,8.143297028,7.993718412,8.143297028
53033007503,0.804580525,-1.596185048,8.167993719,6.571808671,8.167993719
53005010810,2.423593026,11.633741774,8.172098039,19.805839812,8.172098039
53033004401,1.061181130,0.500435239,8.179568454,8.680003694,8.179568454
53033024002,0.646566245,-2.915476404,8.249003844,5.333527440,8.249003844
53077002004,0.378369516,-5.130835509,8.253835102,3.122999593,8.253835102
53033009100,2.339572514,11.065836476,8.260722250,19.326558726,8.260722250
53033029507,1.947746107,7.832424858,8.264264868,16.096689726,8.264264868
