Tract,Median Value,Difference,Franken,Ofm,Reference Line
53005012000,0.048190476,-19.987999999,21.000000000,1.012000001,21.000000000
53059950100,0.491334822,-52.901178462,104,51.098821538,104
53015980000,0.910861934,-50.897835818,571.000000000,520.102164182,571.000000000
53045940000,0.966388004,-24.301472907,723.000000000,698.698527093,723.000000000
53045960100,0.876161017,-98.699669277,797.000000000,698.300330723,797.000000000
53005011600,0.950327495,-41.476541411,835.000000000,793.523458589,835.000000000
53073010900,1.131644267,122.955745688,934.000000000,1056.955745688,934.000000000
53057950100,1.026722704,25.333123490,948.000000000,973.333123490,948.000000000
53007960203,1.200862809,192.225708354,957.000000000,1149.225708354,957.000000000
53049950502,0.790875230,-213.307265362,1020,806.692734638,1020
53057952405,1.144741024,162.254687695,1121.000000000,1283.254687695,1121.000000000
53033023702,0.727285443,-317.712458429,1165.000000000,847.287541571,1165.000000000
53037975102,0.865851534,-156.953704953,1170.000000000,1013.046295047,1170.000000000
53073011000,1.311872088,371.439656245,1191.000000000,1562.439656245,1191.000000000
53049950802,0.832893947,-204.370702213,1223.000000000,1018.629297787,1223.000000000
53061050600,0.979443008,-26.436292183,1286.000000000,1259.563707817,1286.000000000
53037975203,0.976534837,-30.622038122,1305.000000000,1274.377961878,1305.000000000
53049950701,0.855863659,-190.980651864,1325.000000000,1134.019348136,1325.000000000
53015001000,0.817440651,-243.899289802,1336.000000000,1092.100710198,1336.000000000
53055960502,0.999243915,-1.031299991,1364.000000000,1362.968700009,1364.000000000
53027940000,0.804774842,-267.263240942,1369.000000000,1101.736759058,1369.000000000
53037975103,0.826518637,-238.363392433,1374.000000000,1135.636607567,1374.000000000
53007961301,0.935292615,-90.266802199,1395.000000000,1304.733197801,1395.000000000
53039950101,0.844351969,-218.996779643,1407.000000000,1188.003220357,1407.000000000
53025011404,0.778873248,-312.009846512,1411.000000000,1098.990153488,1411.000000000
53049950302,0.786994859,-309.283465296,1452.000000000,1142.716534704,1452.000000000
53033010900,0.895290849,-152.561232694,1457.000000000,1304.438767306,1457.000000000
53055960102,0.903651854,-141.439077722,1468.000000000,1326.560922278,1468.000000000
53057940801,1.039811920,58.603146135,1472.000000000,1530.603146135,1472.000000000
53049950600,0.796609190,-299.798054359,1474,1174.201945641,1474
53021020700,0.890650629,-163.914706857,1499,1335.085293143,1499
53057950803,0.888163260,-169.208987960,1513.000000000,1343.791012040,1513.000000000
53063011500,0.903921061,-146.039986700,1520.000000000,1373.960013300,1520.000000000
53037975202,0.998360857,-2.504611202,1528.000000000,1525.495388798,1528.000000000
53011042500,1.099659743,152.977704866,1535.000000000,1687.977704865,1535.000000000
53005010807,0.795945274,-317.917262913,1558.000000000,1240.082737087,1558.000000000
53065951302,0.897237580,-162.159099481,1578.000000000,1415.840900519,1578.000000000
53025010901,0.912223549,-139.564557220,1590.000000000,1450.435442780,1590.000000000
53057940700,0.928842576,-113.353777153,1593.000000000,1479.646222847,1593.000000000
53011042000,0.971824269,-45.419278090,1612.000000000,1566.580721910,1612.000000000
53077003003,0.906175181,-152.277681018,1623.000000000,1470.722318982,1623.000000000
53057940402,0.960276000,-65.345979812,1645.000000000,1579.654020188,1645.000000000
53011042900,0.958420389,-68.440040293,1646.000000000,1577.559959707,1646.000000000
53053061602,0.672798320,-541.518780817,1655.000000000,1113.481219183,1655.000000000
53065950900,0.880380578,-198.448621538,1659.000000000,1460.551378462,1659.000000000
53057940600,0.875258550,-209.690377728,1681.000000000,1471.309622272,1681.000000000
53021020401,0.842098353,-266.380077918,1687.000000000,1420.619922082,1687.000000000
53015000703,1.009542637,16.193855359,1697,1713.193855359,1697
53009940000,0.691440334,-527.019909525,1708,1180.980090475,1708
53019940000,0.756816914,-416.572625609,1713,1296.427374391,1713
53043960100,0.853037634,-252.481344560,1718.000000000,1465.518655440,1718.000000000
53063013001,0.924086310,-130.799287060,1723.000000000,1592.200712940,1723.000000000
53033026300,1.051806478,90.298692022,1743.000000000,1833.298692022,1743.000000000
53063000202,0.873869411,-220.602399599,1749.000000000,1528.397600401,1749.000000000
53037975403,1.676796517,1185.070701198,1751.000000000,2936.070701198,1751.000000000
53011040808,0.880928988,-208.969626264,1755.000000000,1546.030373736,1755.000000000
53057940802,0.965985640,-59.729216496,1756.000000000,1696.270783504,1756.000000000
53001950301,0.915223417,-149.122008936,1759,1609.877991064,1759
53045960700,0.881337142,-210.626572543,1775.000000000,1564.373427457,1775.000000000
53029970200,0.981846297,-32.458820462,1788.000000000,1755.541179538,1788.000000000
53055960501,0.861084509,-248.936559796,1792.000000000,1543.063440204,1792.000000000
53055960103,0.920150612,-143.409501197,1796.000000000,1652.590498803,1796.000000000
53001950200,0.652444876,-626.989443380,1804.000000000,1177.010556620,1804.000000000
53053072909,1.682778153,1232.414566835,1805.000000000,3037.414566835,1805.000000000
53007960303,0.915692113,-152.681582788,1811.000000000,1658.318417212,1811.000000000
53049950801,0.792897609,-377.340556109,1822.000000000,1444.659443891,1822.000000000
53007960202,0.937481050,-114.097082902,1825,1710.902917098,1825
53067011901,0.925975925,-136.574417525,1845.000000000,1708.425582475,1845.000000000
53063013501,0.894666696,-194.866611650,1850.000000000,1655.133388350,1850.000000000
53049950501,0.841851372,-296.686826547,1876,1579.313173453,1876
53063011600,0.930277833,-131.147396133,1881.000000000,1749.852603867,1881.000000000
53011043000,0.917348913,-155.797299059,1885.000000000,1729.202700941,1885.000000000
