Tract,Median Value,Difference,Franken,Ofm,Reference Line
53005012000,0,-0.018504890,0.018504890,0,0.018504890
53025011404,6.124846641,0.828445857,0.161652809,0.990098666,0.161652809
53017950102,0.000263437,-1.144595797,1.144897406,0.000301609,1.144897406
53021020401,7.220389717,7.209685873,1.159040864,8.368726737,1.159040864
53071920400,4.143833416,5.267215300,1.675411704,6.942627004,1.675411704
53001950303,0,-2,2,0,2
53077002104,0,-2.195151362,2.195151362,0,2.195151362
53025011405,2.596042736,3.509202958,2.198689846,5.707892804,2.198689846
53021020700,2.619146781,3.606934513,2.227676054,5.834610567,2.227676054
53025011401,0.523301247,-1.170944608,2.456361804,1.285417196,2.456361804
53059950100,0,-3,3,0,3
53051970100,0,-3,3,0,3
53001950302,0,-3,3,0,3
53039950101,0,-3.160269360,3.160269360,0,3.160269360
53007960203,2.395931163,4.585001182,3.284546763,7.869547945,3.284546763
53077001502,0.661024418,-1.255058780,3.702504978,2.447446198,3.702504978
53007960202,1.064554553,0.249851199,3.870388489,4.120239689,3.870388489
53051970200,0.017492055,-3.930031779,4,0.069968221,4
53005011600,0,-4.037009781,4.037009781,0,4.037009781
53027940000,1.144784624,0.588821180,4.066876475,4.655697655,4.066876475
53077002701,0.585599409,-1.723720532,4.159551332,2.435830800,4.159551332
53045940000,0.428698248,-2.384644703,4.174054596,1.789409893,4.174054596
53005011802,0.227342263,-3.545079718,4.588163101,1.043083382,4.588163101
53065941000,0,-4.850258631,4.850258631,0,4.850258631
53021020201,0.900269254,-0.503403346,5.047624418,4.544221071,5.047624418
53077002101,0,-5.124808308,5.124808308,0,5.124808308
53025011403,0.047372994,-6.038224715,6.338498362,0.300273648,6.338498362
53047940200,0.002680321,-6.412351246,6.429584600,0.017233354,6.429584600
53037975202,0.246417349,-5.275078556,7.000000000,1.724921444,7.000000000
53009940000,0.197218947,-5.697796317,7.097571993,1.399775676,7.097571993
53047970303,0.638688693,-2.651163729,7.337616284,4.686452556,7.337616284
53077002103,0.743525862,-1.901953194,7.415769919,5.513816725,7.415769919
53065950900,0.405545765,-4.460500567,7.503522234,3.043021667,7.503522234
53077002202,0.445933363,-4.194261401,7.569958410,3.375697009,7.569958410
53077001504,1.150800619,1.158837205,7.684565322,8.843402526,7.684565322
53007961301,0.577978211,-3.349674985,7.937208633,4.587533648,7.937208633
53037975203,1.054892898,0.439143188,8.000000000,8.439143188,8.000000000
53001950301,0,-8.000000000,8.000000000,0,8.000000000
53049950502,0.494215008,-4.133849413,8.173135782,4.039286369,8.173135782
53065951302,0.397576610,-5.115696550,8.491862426,3.376165876,8.491862426
53077940006,0.556840115,-3.894276789,8.787520984,4.893244195,8.787520984
53023970300,0,-9.000000000,9.000000000,0,9.000000000
53077002004,0.388292341,-5.592709924,9.142782245,3.550072321,9.142782245
53049950701,0.253805339,-7.066581781,9.470158598,2.403576817,9.470158598
53077001901,0.360636934,-6.117494402,9.568107277,3.450612875,9.568107277
53077002003,0.107189045,-8.551868259,9.578587957,1.026719698,9.578587957
53005011801,0.958518066,-0.397518544,9.582931887,9.185413344,9.582931887
53057950100,1.275943223,2.645456376,9.586959051,12.232415427,9.586959051
53077940005,1.175730474,1.715339739,9.761196784,11.476536522,9.761196784
53051970400,0,-10,10,0,10
53059950500,0.199317368,-8.006826324,10,1.993173676,10
53077001801,0.283350354,-7.356587358,10.265249414,2.908662056,10.265249414
53017950101,0.761919068,-2.478426162,10.410015367,7.931589205,10.410015367
53015001000,1.050418762,0.553184030,10.971789125,11.524973155,10.971789125
53001950200,0,-11,11,0,11
53077001701,0.112921639,-9.796445065,11.043494568,1.247049503,11.043494568
53041971501,1.470942041,5.262118040,11.173600114,16.435718155,11.173600114
53049950802,0.416383528,-6.823067644,11.691012799,4.867945155,11.691012799
53021020402,0.574883844,-5.109134953,12.018209336,6.909074383,12.018209336
53015980000,2.207708443,14.544636845,12.043168973,26.587805818,12.043168973
53073010900,0.457207430,-6.588137657,12.137486814,5.549349157,12.137486814
53047940100,0.738293508,-3.203391601,12.240397900,9.037006299,12.240397900
53065950800,0.247490919,-9.318665408,12.383459076,3.064793668,12.383459076
53017950200,0.457837264,-6.728027349,12.409608605,5.681581256,12.409608605
53065950600,0.884454418,-1.459355688,12.630129744,11.170774056,12.630129744
53019940000,0.100718568,-11.546804356,12.840034217,1.293229862,12.840034217
53001950100,0,-13,13,0,13
53041971900,0.918236199,-1.076871302,13.170514166,12.093642864,13.170514166
53077001503,1.482042365,6.365109835,13.204461473,19.569571308,13.204461473
53055960502,0.370238091,-8.358480819,13.272445820,4.913965002,13.272445820
53077003003,0.362531157,-8.540699358,13.397830262,4.857130905,13.397830262
53007960400,1.107085718,1.437081094,13.419913669,14.856994763,13.419913669
53015002004,1.805785857,10.991140518,13.640274800,24.631415318,13.640274800
53077003002,1.142528119,1.951722503,13.693596149,15.645318652,13.693596149
53025011406,0.245543164,-10.824222072,14.347039557,3.522817485,14.347039557
53003960400,0.620041476,-5.699377867,15,9.300622133,15
53043960100,0,-15.076732673,15.076732673,0,15.076732673
53007960303,0.648573060,-5.365758439,15.268489209,9.902730770,15.268489209
53077003004,1.199223182,3.076743112,15.443700250,18.520443362,15.443700250
53065950300,0.658879595,-5.295769504,15.524634202,10.228864698,15.524634202
53045960700,0.216395100,-12.303083747,15.700621248,3.397537501,15.700621248
53057951300,0.836423173,-2.574712766,15.740082597,13.165369831,15.740082597
53077940003,0.814935300,-2.913647113,15.743937691,12.830290578,15.743937691
53073010103,0.839979971,-2.534523092,15.838786572,13.304263480,15.838786572
53065951301,0.768563974,-3.700464761,15.989147519,12.288682758,15.989147519
53059950400,0.263186693,-11.789012918,16,4.210987082,16
53063010204,1.190524891,3.053304611,16.025751806,19.079056417,16.025751806
53055960103,1.568289840,9.136706497,16.077546808,25.214253305,16.077546808
53063011500,0.681848732,-5.115830723,16.079869039,10.964038316,16.079869039
53045960100,0.176842529,-13.238449326,16.082523448,2.844074122,16.082523448
53041970500,1.082005573,1.319999498,16.096460937,17.416460434,16.096460937
53021020101,0.359089468,-10.370863231,16.181452355,5.810589124,16.181452355
53031950702,1.048654152,0.788965751,16.215794820,17.004760571,16.215794820
53047970302,0.336053610,-10.784527023,16.243068988,5.458541965,16.243068988
53025010700,0.770263406,-3.755924164,16.348828420,12.592904256,16.348828420
53015001800,0.794219701,-3.434226950,16.688803352,13.254576403,16.688803352
53075001000,0.700332422,-5.002748464,16.694326765,11.691578301,16.694326765
53077001601,0.930220715,-1.173744381,16.820814156,15.647069775,16.820814156
53049950600,0.382710172,-10.463741018,16.951099054,6.487358036,16.951099054
53077000200,1.466686704,7.967667651,17.072840471,25.040508122,17.072840471
53041972000,0.782213573,-3.726376042,17.110230850,13.383854808,17.110230850
53007961101,0.684385573,-5.405262625,17.126158273,11.720895648,17.126158273
53065950700,0.564312728,-7.551336853,17.332011603,9.780674749,17.332011603
53057951101,0.562232130,-7.649059024,17.472865286,9.823806263,17.472865286
53019970100,1.503162652,9.039280465,17.964927288,27.004207753,17.964927288
53075000700,0.157738121,-15.234777826,18.087934643,2.853156817,18.087934643
53077000302,1.119963362,2.182112297,18.189822801,20.371935099,18.189822801
53063011600,0.800541780,-3.665907629,18.379325860,14.713418232,18.379325860
53005011701,0.474845848,-9.663535292,18.401330829,8.737795537,18.401330829
53057940802,0.329055333,-12.506608418,18.640297813,6.133689395,18.640297813
53047970400,0.589592722,-7.653111005,18.647600626,10.994489621,18.647600626
53077001400,0.857966299,-2.649932773,18.657070552,16.007137778,18.657070552
53077001300,1.107722085,2.042598742,18.961745268,21.004344010,18.961745268
53043960200,0.232210016,-14.569004995,18.975247525,4.406242529,18.975247525
53039950102,0.326259397,-12.798198032,18.995735129,6.197537097,18.995735129
53043960400,0.507100131,-9.428946747,19.129537954,9.700591207,19.129537954
53047970500,0.367306748,-12.130729059,19.173160173,7.042431115,19.173160173
53077001802,0.354379013,-12.438229648,19.265528697,6.827299049,19.265528697
53027000202,0.841588146,-3.095796098,19.542704782,16.446908684,19.542704782
53025010901,0.472306616,-10.381639401,19.673620559,9.291981158,19.673620559
53049950501,1.031005327,0.611686617,19.728436283,20.340122900,19.728436283
53011041005,1.656161476,12.985845158,19.790624150,32.776469308,19.790624150
53063010303,1.159710997,3.172660430,19.865009189,23.037669618,19.865009189
53057951501,2.026018284,20.430189216,19.912110284,40.342299499,19.912110284
53025010500,0.148795258,-16.980065539,19.948274124,2.968208585,19.948274124
53003960600,0.289925588,-14.201488234,20,5.798511766,20
53021020801,0.644512636,-7.157473340,20.134255275,12.976781934,20.134255275
53041970900,1.692133562,13.947006269,20.150744062,34.097750331,20.150744062
53021020202,1.376018128,7.607026271,20.230477491,27.837503762,20.230477491
53007960100,0.000469208,-20.429488958,20.439079137,0.009590179,20.439079137
53049950801,0.399256038,-12.398158570,20.638007791,8.239849221,20.638007791
53047970700,0.854568698,-3.012096990,20.711476467,17.699379476,20.711476467
53009002400,0.371512333,-13.063813492,20.786109543,7.722296051,20.786109543
53027001602,0.644270743,-7.414524697,20.843168109,13.428643412,20.843168109
53051970500,0.117054675,-18.541851830,21,2.458148170,21
53013960200,0.736209415,-5.539602281,21,15.460397719,21
53027001601,1.579247186,12.241059269,21.132703908,33.373763177,21.132703908
53041971200,1.098550569,2.090993388,21.217466374,23.308459762,21.217466374
53049950702,0.537832814,-9.824299694,21.257025598,11.432725905,21.257025598
53057940700,1.264577892,5.645949400,21.339460214,26.985409614,21.339460214
53065951401,0.491266421,-11.060103100,21.740462106,10.680359005,21.740462106
53073940001,1.051443027,1.120092461,21.773455736,22.893548198,21.773455736
53065950200,0.411825585,-12.877169633,21.893454218,9.016284585,21.893454218
53063013300,0.399934993,-13.168098241,21.944452825,8.776354583,21.944452825
53007960301,0.500860127,-10.965219631,21.968230216,11.003010585,21.968230216
53037975201,0.082158494,-20.192513126,22.000000000,1.807486874,22.000000000
53037975103,0.146561410,-18.775648972,22.000000000,3.224351028,22.000000000
53057950801,0.966213900,-0.748225928,22.145969055,21.397743127,22.145969055
53047970800,0.155267971,-18.806588855,22.263378466,3.456789610,22.263378466
53047970900,0.234628409,-17.041449292,22.265589021,5.224139729,22.265589021
53063013501,0.321199444,-15.314095000,22.560522164,7.246427164,22.560522164
53047971000,0.743432186,-5.825627790,22.705996132,16.880368341,22.705996132
53009000600,0.752742524,-5.732324623,23.183625071,17.451300447,23.183625071
53063010404,1.157490542,3.667090837,23.284514749,26.951605585,23.284514749
