Tract,Median Value,Difference,Franken,Ofm,Reference Line
53005012000,0,-0.008933395,0.008933395,0,0.008933395
53077002103,0.000879939,-0.200009366,0.200185517,0.000176151,0.200185517
53077002003,7.161501797,1.716467390,0.278579386,1.995046777,0.278579386
53037975102,26.013498360,8.038420546,0.321363307,8.359783853,0.321363307
53021020801,0,-0.436329644,0.436329644,0,0.436329644
53025011401,2.332077554,0.810545754,0.608482405,1.419028159,0.608482405
53001950303,0,-1.000000000,1.000000000,0,1.000000000
53019970200,0,-1.000000000,1.000000000,0,1.000000000
53043960300,0,-1.000000000,1.000000000,0,1.000000000
53043960200,0,-1.000000000,1.000000000,0,1.000000000
53001950301,0,-1,1,0,1
53055960502,10.982195535,10.662097398,1.068111455,11.730208853,1.068111455
53037975101,3.893563571,3.124167368,1.079695431,4.203862800,1.079695431
53055960102,2.709575311,2.273636869,1.329942503,3.603579373,1.329942503
53045960301,2.373135219,1.930074595,1.405596891,3.335671486,1.405596891
53063013001,0,-1.638532033,1.638532033,0,1.638532033
53073010900,4.544462533,5.809524553,1.639042450,7.448567003,1.639042450
53017950200,0.016548892,-1.789111181,1.819217211,0.030106030,1.819217211
53001950200,0,-2.000000000,2.000000000,0,2.000000000
53001950400,0,-2.000000000,2.000000000,0,2.000000000
53043960100,0,-2,2,0,2
53049950701,0,-2,2,0,2
53049950702,0,-2,2,0,2
53005011600,0,-2.017866791,2.017866791,0,2.017866791
53007960100,0.696066536,-0.624548284,2.054884892,1.430336608,2.054884892
53045940000,0,-2.069621838,2.069621838,0,2.069621838
53077002701,0,-2.076821012,2.076821012,0,2.076821012
53007960202,3.177149044,4.591168771,2.108798561,6.699967332,2.108798561
53037975103,1.356436454,0.763523587,2.142102973,2.905626560,2.142102973
53055960501,1.599897696,1.595216682,2.659147870,4.254364551,2.659147870
53065951302,0.665222873,-0.896573080,2.678119284,1.781546205,2.678119284
53055960301,0.366521750,-1.761840953,2.781217750,1.019376797,2.781217750
53015002004,0.465497444,-1.542526578,2.885910572,1.343383994,2.885910572
53019940000,0,-3.000000000,3.000000000,0,3.000000000
53023970300,0,-3,3,0,3
53059950500,0.394194296,-1.817417113,3,1.182582887,3
53045960100,0.741518293,-0.783977441,3.033009379,2.249031938,3.033009379
53003960100,2.264609173,3.942411761,3.117494200,7.059905960,3.117494200
53007960303,0.016430873,-3.106663235,3.158561151,0.051897916,3.158561151
53057951102,2.668004977,5.348483015,3.206515022,8.554998036,3.206515022
53025011404,0,-3.215537079,3.215537079,0,3.215537079
53077001901,0.275475647,-2.371754474,3.273533133,0.901778659,3.273533133
53063013501,2.343045052,4.593315034,3.420075169,8.013390203,3.420075169
53039950301,1.118985857,0.408210963,3.430751964,3.838962927,3.430751964
53073011000,0.465819364,-1.854053719,3.470836633,1.616782914,3.470836633
53047970900,0.035442515,-3.406024210,3.531178042,0.125153831,3.531178042
53077002101,0,-3.541574370,3.541574370,0,3.541574370
53025010901,1.568863962,2.217523164,3.898160746,6.115683910,3.898160746
53049950801,0,-4,4,0,4
53049950802,0.002722707,-3.989109171,4,0.010890829,4
53009940000,0.069983290,-3.731409786,4.012196499,0.280786713,4.012196499
53007960302,0.313388231,-2.771713400,4.036798561,1.265085161,4.036798561
53009001800,1.254390366,1.040113293,4.088650480,5.128763773,4.088650480
53057950100,4.183939604,13.086166323,4.110054822,17.196221145,4.110054822
53077001802,0.657549469,-1.413583448,4.127847150,2.714263702,4.127847150
53007960501,0.656860970,-1.421511444,4.142669065,2.721157621,4.142669065
53057940600,2.119539623,4.638982016,4.143651480,8.782633496,4.143651480
53007960203,0,-4.160568345,4.160568345,0,4.160568345
53077003003,0.357389599,-2.693532280,4.191547904,1.498015624,4.191547904
53009001600,1.341296862,1.447630586,4.241558442,5.689189028,4.241558442
53009000600,0.695475998,-1.301216790,4.272953134,2.971736343,4.272953134
53037975203,0.273871534,-3.192142879,4.396113125,1.203970246,4.396113125
53077940007,0.190666759,-3.591684367,4.437831271,0.846146904,4.437831271
53025010700,0.538187432,-2.062041406,4.465104560,2.403063155,4.465104560
53011040511,1.322977398,1.500855821,4.646937619,6.147793440,4.646937619
53021020700,1.235025282,1.114007423,4.739947176,5.853954599,4.739947176
53037975201,0.192147087,-3.851343565,4.767382161,0.916038596,4.767382161
53047940200,0.984741759,-0.074142375,4.859169200,4.785026824,4.859169200
53015001800,0.430266871,-2.803413919,4.920573823,2.117159904,4.920573823
53049950502,0,-5,5,0,5
53009002001,0.840836802,-0.811255990,5.097007340,4.285751350,5.097007340
53007960301,0.192055660,-4.137506215,5.121028777,0.983522562,5.121028777
53025010500,0.242299033,-3.988814831,5.264365499,1.275550668,5.264365499
53065951301,1.611933409,3.279169650,5.358703418,8.637873068,5.358703418
53077002005,0.276458716,-3.926870634,5.427293121,1.500422488,5.427293121
53057951900,1.278561119,1.516124729,5.442700457,6.958825186,5.442700457
53047940100,1.575915557,3.156475566,5.480795800,8.637271366,5.480795800
53077001801,0.592985575,-2.283022937,5.609194162,3.326171225,5.609194162
53065950500,0.868673140,-0.762601776,5.806898720,5.044296944,5.806898720
53065950200,0.225787174,-4.537398922,5.860661008,1.323262086,5.860661008
53039950102,1.477263040,2.861542775,5.995735129,8.857277904,5.995735129
53059950400,0,-6,6,0,6
53013960200,0,-6,6,0,6
53055960302,1.270436971,1.623897657,6.004717677,7.628615334,6.004717677
53065950800,0.386023092,-3.735061280,6.083390489,2.348329209,6.083390489
53061052302,3.944206230,18.144198240,6.162679115,24.306877354,6.162679115
53007960700,2.048321776,6.471018813,6.172741007,12.643759820,6.172741007
53007960400,0.227976410,-4.769167397,6.177489209,1.408321812,6.177489209
53041971200,0.940692531,-0.368742194,6.217466374,5.848724180,6.217466374
53073000101,3.715425989,16.970465714,6.249651357,23.220117071,6.249651357
53057940700,1.369821555,2.311809569,6.251148790,8.562958359,6.251148790
53025011405,0,-6.264919795,6.264919795,0,6.264919795
53045960700,0.283003428,-4.502916645,6.280248499,1.777331855,6.280248499
53057951000,0.792500074,-1.310083542,6.313657879,5.003574336,6.313657879
53077940005,0.811659676,-1.199069081,6.366502155,5.167433074,6.366502155
53007960600,1.063405406,0.404215849,6.375100719,6.779316568,6.375100719
53031950202,0.340913800,-4.210645329,6.388610970,2.177965641,6.388610970
53015000703,2.120332704,7.193350391,6.420726954,13.614077345,6.420726954
53025011403,0.098248201,-5.817499467,6.451331150,0.633831682,6.451331150
53055960103,1.603437274,3.934040938,6.519386702,10.453427640,6.519386702
53015001501,1.589240645,3.869384363,6.566730239,10.436114602,6.566730239
53021020101,0.204769105,-5.240349053,6.589720153,1.349371100,6.589720153
53065950700,0.524160153,-3.143140987,6.605459819,3.462318832,6.605459819
53065950300,0.693578640,-2.050882925,6.693015546,4.642132622,6.693015546
53017950101,0.838537348,-1.101180248,6.820030733,5.718850485,6.820030733
53011040102,1.156652276,1.086771720,6.937477999,8.024249719,6.937477999
53001950100,0,-7.000000000,7.000000000,0,7.000000000
53007960801,0.358547086,-4.526820895,7.057136691,2.530315796,7.057136691
53057952404,2.436290793,10.156943650,7.071648514,17.228592164,7.071648514
53039950101,0,-7.160269360,7.160269360,0,7.160269360
53057950801,0.624484957,-2.709291921,7.214869198,4.505577277,7.214869198
53065950900,0.143241315,-6.193400364,7.228873743,1.035473378,7.228873743
53077002202,0.100525805,-6.543157051,7.274424420,0.731267369,7.274424420
53045960402,1.645802780,4.806648166,7.442904114,12.249552280,7.442904114
53005010807,0.722213569,-2.093417138,7.536066928,5.442649790,7.536066928
53045961101,0.665526408,-2.538778937,7.590371860,5.051592923,7.590371860
53011040403,2.683678516,12.806400837,7.606203153,20.412603990,7.606203153
53047970303,0.339817242,-5.067056206,7.675232569,2.608176362,7.675232569
53005011701,0.440396463,-4.295799092,7.676504538,3.380705447,7.676504538
53011040202,1.666378337,5.163566071,7.748700372,12.912266443,7.748700372
53017950800,1.397440631,3.095783377,7.789297659,10.885081035,7.789297659
53033024100,3.055751652,16.313641174,7.935608933,24.249250107,7.935608933
53049950301,0.000278658,-7.997770736,8,0.002229264,8
53009002301,0.899931019,-0.803902548,8.033483907,7.229581359,8.033483907
53073010407,2.038335423,8.361622886,8.052911131,16.414534017,8.052911131
53011040715,1.904207622,7.298782699,8.072020766,15.370803465,8.072020766
53007961301,0.125278610,-7.100245675,8.117151079,1.016905405,8.117151079
53015001602,0.388421051,-5.000092538,8.175710666,3.175618128,8.175710666
53077003004,0.518961970,-3.951070057,8.213633453,4.262563396,8.213633453
53065941000,0,-8.386481196,8.386481196,0,8.386481196
53025011406,0.100357154,-7.613424975,8.462719409,0.849294434,8.462719409
53047970302,0.676329639,-2.746711346,8.486137975,5.739426630,8.486137975
53041971800,2.763981735,15.015307676,8.512167319,23.527474995,8.512167319
53005010701,1.773363338,6.645524562,8.593017324,15.238541885,8.593017324
53061050600,0.701201587,-2.569335011,8.598891082,6.029556071,8.598891082
53073010408,1.006926985,0.060191423,8.689411722,8.749603145,8.689411722
53037975104,0.781810545,-1.900817795,8.711776650,6.810958854,8.711776650
53051970100,0,-8.851586687,8.851586687,0,8.851586687
53063011500,0.121456006,-7.891680286,8.982680825,1.091000539,8.982680825
53057940801,0.111925359,-8.071972219,9.089294803,1.017322584,9.089294803
