COUNTY_NAME,RACE,Franken,Ofm,n,totalDiff,totalDifPct,tractsHighlyVariable,tractsHighlyVariablePct,personsHighlyVariable,personsHighlyVariablePct
Adams,all,20613.0,18457.955708611,7,-2155.044291389,-0.10454782377087275,3,0.42857142857142855,10329.0,0.5010915441711541
Asotin,all,22285.0,21374.944660893,9,-910.0553391069989,-0.040837125380614715,0,0.0,0.0,0.0
Benton,all,206873.0,197531.865560919,494,-9341.134439081012,-0.04515395648093764,11,0.022267206477732792,38294.0,0.1851087382113664
Chelan,all,79074.0,75518.358970574,11,-3555.6410294259986,-0.044965994251283586,3,0.2727272727272727,8191.0,0.10358651389837367
Clallam,all,77155.0,71485.259265111,15,-5669.740734888997,-0.07348507206129216,6,0.4,18734.0,0.24280992806687837
Clark,all,503311.0,484979.187132221,6,-18331.812867778994,-0.03642243636196903,12,2.0,45723.0,0.09084442819648289
Columbia,all,3952.0,3465.393805869,3,-486.60619413099994,-0.12312909770521253,1,0.3333333333333333,3952.0,1.0
Cowlitz,all,110730.0,106718.736433296,59,-4011.2635667040013,-0.03622562599750746,3,0.05084745762711865,7379.0,0.06663957373792107
Douglas,all,42938.0,41153.721441139,5,-1784.2785588609986,-0.04155476638085143,1,0.2,2452.0,0.05710559411244119
Ferry,all,7178.0,6381.052773161,61,-796.947226839,-0.11102636205614377,1,0.01639344262295082,1713.0,0.23864586235720256
Franklin,all,96749.0,89882.375134021,45,-6866.624865979,-0.0709736004090895,5,0.1111111111111111,21334.0,0.22050873910841456
Garfield,all,2286.0,1787.410081729,21,-498.589918271,-0.2181058260153106,1,0.047619047619047616,2286.0,1.0
Grant,all,99123.0,93313.809919453,13,-5809.190080547007,-0.05860587432328528,11,0.8461538461538461,41156.0,0.4152013155372618
Grays Harbor,all,75636.0,65743.142904342,193,-9892.857095657993,-0.13079561446477858,13,0.06735751295336788,47163.0,0.623552276693638
Island,all,86857.0,82973.164666034,1,-3883.8353339659952,-0.044715282981981824,1,1.0,6853.0,0.07889980082204083
Jefferson,all,32977.0,29256.71658403,23,-3720.2834159699996,-0.11281448937047031,7,0.30434782608695654,23489.0,0.7122843193741092
King,all,2269675.0,2201718.606509593,1,-67956.39349040715,-0.02994102393091837,68,68.0,302125.0,0.1331137717955214
Kitsap,all,275611.0,261274.833720271,6,-14336.16627972899,-0.05201594377484567,8,1.3333333333333333,31163.0,0.11306878172496744
Kittitas,all,44337.0,43664.551956073,8,-672.4480439269973,-0.01516674659825873,5,0.625,15185.0,0.3424904707129486
Klickitat,all,22735.0,20133.216237904002,14,-2601.783762095998,-0.11443957607635795,4,0.2857142857142857,14924.0,0.6564328128436332
Lewis,all,82149.0,74169.103418584,24,-7979.896581416004,-0.09713930274764153,10,0.4166666666666667,36960.0,0.4499141803308622
Lincoln,all,10876.0,8972.579180052,23,-1903.420819948,-0.1750111088587716,4,0.17391304347826086,10876.0,1.0
Mason,all,65726.0,61795.175888845,21,-3930.8241111550014,-0.059806227537884574,7,0.3333333333333333,21654.0,0.3294586617168244
Okanogan,all,42104.0,37535.955410546,41,-4568.044589454003,-0.10849431382894743,7,0.17073170731707318,21994.0,0.5223731711951358
Pacific,all,23365.0,19341.236234726,54,-4023.7637652740013,-0.1722133004611171,11,0.2037037037037037,23365.0,1.0
Pend Oreille,all,13401.0,12066.400442331,115,-1334.5995576690002,-0.09958954985963736,2,0.017391304347826087,5591.0,0.41720767106932316
Pierce,all,921130.0,874333.714310589,20,-46796.28568941099,-0.0508031284285725,37,1.85,181080.0,0.196584629748244
San Juan,all,17788.0,16378.394795549999,4,-1409.605204450001,-0.07924472703226901,1,0.25,1792.0,0.10074207330784798
Skagit,all,129523.0,124126.238145239,5,-5396.761854761004,-0.04166643649977999,5,1.0,12216.0,0.0943152953529489
Skamania,all,12036.0,11109.102955625,12,-926.8970443750004,-0.0770103891969924,2,0.16666666666666666,5152.0,0.4280491857760053
Snohomish,all,827957.0,812747.966043369,0,-15209.03395663097,-0.01836935246230296,15,inf,72260.0,0.08727506380162255
Spokane,all,539339.0,492602.796960663,23,-46736.20303933701,-0.08665459579102755,48,2.0869565217391304,188121.0,0.3487991782533805
Stevens,all,46445.0,41315.032265668,19,-5129.967734332,-0.11045252953669932,8,0.42105263157894735,22819.0,0.49131230487673594
Thurston,all,294793.0,281176.79514222,173,-13616.204857780016,-0.04618903724912062,6,0.03468208092485549,28612.0,0.09705793556834796
Wahkiakum,all,4422.0,3673.860556923,54,-748.1394430770001,-0.16918576279443692,1,0.018518518518518517,4422.0,1.0
Walla Walla,all,62584.0,56874.660796451,30,-5709.339203549003,-0.0912268184128372,5,0.16666666666666666,23807.0,0.3804007414035536
Whatcom,all,226847.0,218334.409919343,10,-8512.590080657013,-0.037525689476418086,10,1.0,34984.0,0.1542184820605959
Whitman,all,47973.0,45892.950154874,13,-2080.049845125999,-0.04335876107656388,6,0.46153846153846156,20024.0,0.4174014549850958
Yakima,all,256728.0,245204.351274354,130,-11523.648725645995,-0.044886606547186104,9,0.06923076923076923,40548.0,0.15794147891932317
Adams,aian,75.553763442,42.195447685000005,6,-33.358315757,-0.441517592735245,7,1.1666666666666667,75.553763442,1.0
Asotin,aian,266.960556845,204.301367538,3,-62.65918930699999,-0.2347132851666194,5,1.6666666666666667,205.398051045,0.7693947505670516
Benton,aian,1231.454735559,1159.660548647,59,-71.79418691199999,-0.05830030519100657,36,0.6101694915254238,984.622347335,0.7995603239838497
Chelan,aian,420.252151077,358.796764548,5,-61.45538652900001,-0.1462345555436311,20,4.0,372.60122302,0.8866134820847847
Clallam,aian,3961.306267646,3051.730932207,61,-909.5753354389999,-0.2296149991905356,17,0.2786885245901639,3372.961716546,0.8514771362403082
Clark,aian,3116.891202765,2990.967198442,45,-125.92400432299974,-0.040400513245791934,91,2.022222222222222,2485.492773974,0.7974268629489265
Columbia,aian,43.428571429,18.499883027,21,-24.928688402000002,-0.5740158513561775,1,0.047619047619047616,43.428571429,1.0
