Year,County,fpPopulation,Population,dif,pctDiff
2011,53001,18965.09,18950.0,15.09,0.001
2012,53001,19076.324,19050.0,26.324,0.001
2013,53001,19231.84,19200.0,31.84,0.002
2014,53001,19446.35,19400.0,46.35,0.002
2015,53001,19477.547,19410.0,67.547,0.003
2016,53001,19592.003,19510.0,82.003,0.004
2017,53001,19980.815,19870.0,110.815,0.006
2018,53001,20165.059,20020.0,145.059,0.007
2019,53001,20304.112,20150.0,154.112,0.008
2020,53001,20613.0,20450.0,163.0,0.008
2011,53003,21615.599,21650.0,-34.401,-0.002
2012,53003,21626.086,21700.0,-73.914,-0.003
2013,53003,21685.307,21800.0,-114.693,-0.005
2014,53003,21801.174,21950.0,-148.826,-0.007
2015,53003,21825.213,22010.0,-184.787,-0.008
2016,53003,21943.87,22150.0,-206.13,-0.009
2017,53003,22046.567,22290.0,-243.433,-0.011
2018,53003,22152.407,22420.0,-267.593,-0.012
2019,53003,22212.767,22520.0,-307.233,-0.014
2020,53003,22285.0,22640.0,-355.0,-0.016
2011,53005,178004.269,177900.0,104.269,0.001
2012,53005,180180.439,180000.0,180.439,0.001
2013,53005,183675.65,183400.0,275.65,0.002
2014,53005,186917.04,186500.0,417.04,0.002
2015,53005,189133.979,188590.0,543.979,0.003
2016,53005,191317.38,190500.0,817.38,0.004
2017,53005,194473.235,193500.0,973.235,0.005
2018,53005,198529.488,197420.0,1109.488,0.006
2019,53005,202948.966,201800.0,1148.966,0.006
2020,53005,206872.999,205700.0,1172.999,0.006
2011,53007,72640.494,72700.0,-59.506,-0.001
2012,53007,73097.89,73200.0,-102.11,-0.001
2013,53007,73478.172,73600.0,-121.828,-0.002
2014,53007,74148.393,74300.0,-151.607,-0.002
2015,53007,74850.907,75030.0,-179.093,-0.002
2016,53007,75674.136,75910.0,-235.864,-0.003
2017,53007,76514.987,76830.0,-315.013,-0.004
2018,53007,77452.084,77800.0,-347.916,-0.004
2019,53007,78028.386,78420.0,-391.614,-0.005
2020,53007,79141.002,79660.0,-518.998,-0.007
2011,53009,71633.291,71600.0,33.291,0.0
2012,53009,72063.425,72000.0,63.425,0.001
2013,53009,72446.917,72350.0,96.917,0.001
2014,53009,72631.377,72500.0,131.377,0.002
2015,53009,72808.089,72650.0,158.089,0.002
2016,53009,73639.987,73410.0,229.987,0.003
2017,53009,74505.755,74240.0,265.755,0.004
2018,53009,75449.635,75130.0,319.635,0.004
2019,53009,76370.752,76010.0,360.752,0.005
2020,53009,77155.004,76770.0,385.004,0.005
2011,53011,428396.043,428000.0,396.043,0.001
2012,53011,431988.116,431250.0,738.116,0.002
2013,53011,436595.218,435500.0,1095.218,0.003
2014,53011,444306.581,442800.0,1506.581,0.003
2015,53011,453713.992,451820.0,1893.992,0.004
2016,53011,463513.689,461010.0,2503.689,0.005
2017,53011,473938.364,471000.0,2938.364,0.006
2018,53011,482876.562,479500.0,3376.562,0.007
2019,53011,492257.908,488500.0,3757.908,0.008
2020,53011,503311.0,499200.0,4111.0,0.008
2011,53013,4075.805,4100.0,-24.195,-0.006
2012,53013,4055.033,4100.0,-44.967,-0.011
2013,53013,4039.112,4100.0,-60.888,-0.015
2014,53013,4003.975,4080.0,-76.025,-0.019
2015,53013,3991.447,4090.0,-98.553,-0.024
2016,53013,3920.852,4050.0,-129.148,-0.032
2017,53013,3938.699,4100.0,-161.301,-0.039
2018,53013,3958.881,4150.0,-191.119,-0.046
2019,53013,3947.129,4160.0,-212.871,-0.051
2020,53013,3952.002,4185.0,-232.998,-0.056
2011,53015,102722.546,102700.0,22.546,0.0
2012,53015,103086.492,103050.0,36.492,0.0
2013,53015,103354.465,103300.0,54.465,0.001
2014,53015,103780.159,103700.0,80.159,0.001
2015,53015,104381.119,104280.0,101.119,0.001
2016,53015,105026.857,104850.0,176.857,0.002
2017,53015,106116.987,105900.0,216.987,0.002
2018,53015,107560.763,107310.0,250.763,0.002
2019,53015,109187.887,108950.0,237.887,0.002
2020,53015,110730.005,110500.0,230.005,0.002
2011,53017,38570.758,38650.0,-79.242,-0.002
2012,53017,38737.992,38900.0,-162.008,-0.004
2013,53017,39036.174,39280.0,-243.826,-0.006
2014,53017,39389.305,39700.0,-310.695,-0.008
2015,53017,39628.487,39990.0,-361.513,-0.009
2016,53017,40300.792,40720.0,-419.208,-0.01
2017,53017,40911.464,41420.0,-508.536,-0.012
2018,53017,41513.28,42120.0,-606.72,-0.014
2019,53017,42121.01,42820.0,-698.99,-0.016
2020,53017,42938.001,43750.0,-811.999,-0.019
2011,53019,7526.659,7600.0,-73.341,-0.01
2012,53019,7502.879,7650.0,-147.121,-0.019
2013,53019,7428.473,7650.0,-221.527,-0.029
2014,53019,7365.022,7660.0,-294.978,-0.039
2015,53019,7344.295,7710.0,-365.705,-0.047
2016,53019,7265.065,7700.0,-434.935,-0.056
2017,53019,7232.919,7740.0,-507.081,-0.066
2018,53019,7197.718,7780.0,-582.282,-0.075
2019,53019,7172.88,7830.0,-657.12,-0.084
2020,53019,7178.0,7910.0,-732.0,-0.093
2011,53021,80486.444,80500.0,-13.556,-0.0
2012,53021,82443.369,82500.0,-56.631,-0.001
2013,53021,84693.459,84800.0,-106.541,-0.001
2014,53021,86477.872,86600.0,-122.128,-0.001
2015,53021,87048.102,87150.0,-101.898,-0.001
2016,53021,88683.596,88670.0,13.596,0.0
2017,53021,90381.967,90330.0,51.967,0.001
2018,53021,92511.739,92540.0,-28.261,-0.0
2019,53021,94656.84,94680.0,-23.16,-0.0
2020,53021,96749.001,96760.0,-10.999,-0.0
2011,53023,2263.83,2250.0,13.83,0.006
2012,53023,2270.286,2250.0,20.286,0.009
2013,53023,2270.721,2250.0,20.721,0.009
2014,53023,2265.826,2240.0,25.826,0.012
2015,53023,2295.467,2260.0,35.467,0.016
2016,53023,2222.468,2200.0,22.468,0.01
2017,53023,2226.804,2200.0,26.804,0.012
2018,53023,2243.998,2210.0,33.998,0.015
2019,53023,2268.409,2220.0,48.409,0.022
2020,53023,2286.001,2225.0,61.001,0.027
