Tract,Median Value,Difference,Franken,Ofm,Reference Line
53059950100,0.017905889,-2.946282332,3,0.053717668,3
53005012000,0,-12.000000000,12.000000000,0,12.000000000
53007960203,0.140554558,-18.048354292,21.000000000,2.951645708,21.000000000
53073010900,1.472566715,12.759301300,27.000000000,39.759301300,27.000000000
53045960100,0.274024922,-21.053277258,29.000000000,7.946722742,29.000000000
53045940000,1.545944760,17.470232314,32.000000000,49.470232314,32.000000000
53019940000,0.654299118,-12.445231745,36.000000000,23.554768255,36.000000000
53061050600,0.426454690,-22.368267107,39.000000000,16.631732893,39.000000000
53055960102,0.691715591,-12.331376345,40,27.668623655,40
53057950100,0.240447082,-31.141669631,41.000000000,9.858330369,41.000000000
53031950202,0.121756029,-38.642734746,44.000000000,5.357265254,44.000000000
53051970500,0.468926406,-24.960458925,47,22.039541075,47
53065951302,0.101877478,-44.008003563,49.000000000,4.991996437,49.000000000
53037975102,0.552013886,-22.399305701,50.000000000,27.600694299,50.000000000
53065950900,0.148984310,-44.252815901,52,7.747184099,52
53057940801,0.660912337,-18.310733826,54.000000000,35.689266174,54.000000000
53075001000,0.184370393,-45.675258004,56.000000000,10.324741996,56.000000000
53073011000,0.333135304,-38.011287675,57.000000000,18.988712325,57.000000000
53049950802,1.234584529,13.371318174,57.000000000,70.371318174,57.000000000
53057940802,1.291812022,17.508721321,60.000000000,77.508721321,60.000000000
53065950800,0.096494311,-57.824364121,64.000000000,6.175635879,64.000000000
53057951101,0.702014455,-19.667045998,66.000000000,46.332954002,66.000000000
53033023702,0.384499703,-41.854020174,68,26.145979826,68
53057940700,0.404659144,-41.078519046,69.000000000,27.921480954,69.000000000
53047970303,0.108377670,-62.413563084,70.000000000,7.586436916,70.000000000
53009002301,0.528411138,-33.011220373,70.000000000,36.988779627,70.000000000
53063013502,0.478101697,-37.576677812,72.000000000,34.423322188,72.000000000
53019970100,0.504964259,-36.632644860,74.000000000,37.367355140,74.000000000
53073001102,0.560723527,-32.945735471,75.000000000,42.054264529,75.000000000
53029971302,0.537553969,-34.683452342,75.000000000,40.316547658,75.000000000
53043960300,0.092448562,-68.066357880,75.000000000,6.933642120,75.000000000
53037975101,0.577511721,-31.686620912,75.000000000,43.313379088,75.000000000
53063011500,0.230827859,-59.226254860,77.000000000,17.773745140,77.000000000
53065950600,0.242534025,-58.324880081,77,18.675119919,77
53015002004,0.449569080,-42.383180844,77.000000000,34.616819156,77.000000000
53037975103,0.427301370,-44.670493107,78.000000000,33.329506893,78.000000000
53047970900,0.391819973,-48.046222145,79.000000000,30.953777855,79.000000000
53009001500,0.777829180,-17.551494765,79.000000000,61.448505235,79.000000000
53037975202,0.119283043,-70.457356588,80.000000000,9.542643412,80.000000000
53075000700,0.077120097,-74.753272120,81.000000000,6.246727880,81.000000000
53065951401,0.329500583,-54.310452742,81.000000000,26.689547258,81.000000000
53063012702,0.427913538,-46.911089879,82.000000000,35.088910121,82.000000000
53049950502,0.542721403,-37.496844989,82,44.503155011,82
53051970100,0.282537046,-60.266888149,84.000000000,23.733111851,84.000000000
53049950801,0.324753066,-57.395989370,85.000000000,27.604010630,85.000000000
53063013001,0.503383358,-42.709031212,86.000000000,43.290968788,86.000000000
53033024904,0.580691074,-36.479876543,87.000000000,50.520123457,87.000000000
53063010102,0.383163633,-54.281600300,88.000000000,33.718399700,88.000000000
53049950701,0.845317259,-13.612081225,88.000000000,74.387918775,88.000000000
53063004100,0.331700329,-59.478670727,89.000000000,29.521329273,89.000000000
53051970200,0.227422537,-68.759394199,89.000000000,20.240605801,89.000000000
53037975203,0.255343639,-66.274416151,89.000000000,22.725583849,89.000000000
53063013300,0.449996138,-49.500347577,90.000000000,40.499652423,90.000000000
53067011901,0.437728499,-50.604435080,90.000000000,39.395564920,90.000000000
53007960202,0.759658793,-22.111391006,92.000000000,69.888608994,92.000000000
53033024200,0.770807965,-21.314859274,93.000000000,71.685140726,93.000000000
53027000202,0.249902180,-70.509195117,94.000000000,23.490804883,94.000000000
53045961101,0.575746484,-39.879830496,94.000000000,54.120169504,94.000000000
53063011600,0.130864594,-83.436998937,96.000000000,12.563001063,96.000000000
53059950300,0.813433475,-17.910386381,96,78.089613619,96
53031950702,0.379241900,-60.213535666,97.000000000,36.786464334,97.000000000
53047940100,1.232552718,22.557613636,97.000000000,119.557613636,97.000000000
53063013501,0.504106694,-48.597544032,98.000000000,49.402455968,98.000000000
53065941000,0.591349574,-40.047741755,98.000000000,57.952258245,98.000000000
53031950604,0.269190583,-71.619322842,98.000000000,26.380677158,98.000000000
53033032800,0.216944663,-76.739423026,98.000000000,21.260576974,98.000000000
53041972000,0.251195998,-74.131596189,99.000000000,24.868403811,99.000000000
53043960200,0.147598892,-84.387709685,99.000000000,14.612290315,99.000000000
53033000900,0.776797703,-22.097027355,99.000000000,76.902972645,99.000000000
53057940600,0.710453337,-28.665119656,99.000000000,70.334880344,99.000000000
53011040409,0.552450758,-44.754924228,100.000000000,55.245075772,100.000000000
53019970200,0.400206525,-59.979347530,100.000000000,40.020652470,100.000000000
53045960301,0.633825808,-36.617419156,100.000000000,63.382580844,100.000000000
53065951301,0.292945963,-71.412457752,101,29.587542248,101
53043960100,0.212055273,-79.582417453,101,21.417582547,101
53031950502,0.385261686,-62.088569735,101,38.911430265,101
53051970400,0.154725519,-86.217997060,102,15.782002940,102
53055960502,0.257958468,-75.688236293,102,26.311763707,102
53009002302,0.342373702,-67.077882379,102,34.922117621,102
53063010204,0.303524251,-73.129953611,105.000000000,31.870046389,105.000000000
53057940302,1.053150409,5.580792952,105.000000000,110.580792952,105.000000000
53029971301,0.959157789,-4.329274405,106,101.670725595,106
53063003900,0.482354191,-55.388101557,107.000000000,51.611898443,107.000000000
53009001701,0.900812050,-10.613110629,107,96.386889371,107
53057940402,0.743789819,-27.414489321,107.000000000,79.585510679,107.000000000
53063014300,0.183544375,-88.177207498,108.000000000,19.822792502,108.000000000
53029971800,0.793234896,-22.330631254,108,85.669368746,108
53065950500,0.411315331,-63.577944256,108,44.422055744,108
53063003800,0.615983529,-42.241811859,110.000000000,67.758188141,110.000000000
53023970300,0.097490537,-99.276040904,110,10.723959096,110
53043960400,0.261196912,-81.268339683,110,28.731660317,110
53073010103,0.428469406,-63.439895898,111.000000000,47.560104102,111.000000000
53003960100,0.568050045,-47.946445008,111,63.053554992,111
53055960103,0.618697720,-42.705855366,112,69.294144634,112
53053060906,0.747732026,-28.254013051,112.000000000,83.745986949,112.000000000
53055960501,0.849493885,-17.007190978,113,95.992809022,113
53015001800,0.627267069,-42.118821184,113.000000000,70.881178816,113.000000000
53057940301,0.821696911,-20.504855214,115.000000000,94.495144786,115.000000000
53063010303,0.463342371,-62.788942590,117.000000000,54.211057410,117.000000000
53009002001,0.648092950,-41.173124841,117.000000000,75.826875159,117.000000000
53067012002,1.016263222,1.902796995,117.000000000,118.902796995,117.000000000
53057950803,0.437736167,-65.784868518,117.000000000,51.215131482,117.000000000
53011042000,0.748252799,-29.706169714,118.000000000,88.293830286,118.000000000
53033032224,0.799985761,-23.601680202,118.000000000,94.398319798,118.000000000
53031950302,0.446775988,-65.833657463,119,53.166342537,119
53057940201,0.980061442,-2.372688457,119.000000000,116.627311543,119.000000000
53065950102,0.367596289,-75.888445314,120,44.111554686,120
53009000600,0.295198097,-84.576228415,120,35.423771585,120
53063012200,0.482860292,-62.573904674,121.000000000,58.426095326,121.000000000
53027000401,0.470495754,-64.070013765,121.000000000,56.929986235,121.000000000
53075000800,0.434381511,-69.005455608,122,52.994544392,122
53045960201,0.422853145,-70.411916359,122,51.588083641,122
53027940000,1.352851871,43.047928219,122.000000000,165.047928219,122.000000000
53015002001,0.558985799,-53.803732516,122.000000000,68.196267484,122.000000000
53055960301,0.422342340,-71.051892192,123,51.948107808,123
53065950200,0.327501798,-82.717278832,123,40.282721168,123
53033004101,0.529742091,-57.841722755,123.000000000,65.158277245,123.000000000
