Tract,Median Value,Difference,Franken,Ofm,Reference Line
53021020401,0,-2.837166513,2.837166513,0,2.837166513
53059950100,0.007454120,-5.810024661,5.853658537,0.043633876,5.853658537
53001950302,0.000834768,-7.413161399,7.419354839,0.006193440,7.419354839
53025011405,0,-7.635374150,7.635374150,0,7.635374150
53025011404,0,-7.635374150,7.635374150,0,7.635374150
53005012000,0,-7.766455522,7.766455522,0,7.766455522
53021020402,0,-12.294388224,12.294388224,0,12.294388224
53077002004,0.260445945,-10.675616475,14.435207824,3.759591349,14.435207824
53005011600,0.334348845,-10.339500181,15.532911044,5.193410863,15.532911044
53021020101,0.274501495,-13.036280409,17.968721251,4.932440842,17.968721251
53021020403,0.174455244,-15.614719574,18.914443422,3.299723848,18.914443422
53077940008,0.168364145,-16.006448532,19.246943765,3.240495233,19.246943765
53077002701,0,-22.133985330,22.133985330,0,22.133985330
53025011403,0.031046394,-23.119760361,23.860544218,0.740783856,23.860544218
53077002005,0.429115794,-13.734720257,24.058679707,10.323959450,24.058679707
53021020103,0.033279412,-24.684725523,25.534498620,0.849773098,25.534498620
53025011401,0.000110825,-27.675163841,27.678231293,0.003067452,27.678231293
53001950400,0.082504098,-28.079814083,30.604838710,2.525024627,30.604838710
53077001901,0.166713216,-25.661158191,30.795110024,5.133951834,30.795110024
53077002101,0.286685164,-21.966608856,30.795110024,8.828501169,30.795110024
53021020201,0.095738415,-29.076127791,32.154553818,3.078426027,32.154553818
53001950301,0.099765607,-29.221317999,32.459677419,3.238359420,32.459677419
53057952405,0.675502057,-10.740934763,33.100162866,22.359228103,33.100162866
53001950303,0.149749952,-29.964457354,35.241935484,5.277478130,35.241935484
53077002003,0.035646101,-34.337600744,35.606845966,1.269245221,35.606845966
53077002103,0.088251654,-34.219319836,37.531540342,3.312220506,37.531540342
53077002104,0.063834203,-35.135744378,37.531540342,2.395795965,37.531540342
53021020404,0.362992345,-24.699722767,38.774609016,14.074886249,38.774609016
53077001502,0.481569754,-21.453125242,41.380929095,19.927803853,41.380929095
53027940000,0.888345722,-4.909636679,43.971774194,39.062137514,43.971774194
