Tract,Median Value,Difference,Franken,Ofm,Reference Line
53077002004,0,-0.010576463,0.010576463,0,0.010576463
53077002701,0,-0.011818617,0.011818617,0,0.011818617
53077002003,37.772006903,1.575988173,0.042858367,1.618846540,0.042858367
53077001502,0,-0.052037406,0.052037406,0,0.052037406
53077001601,0.029888935,-0.058983770,0.060801049,0.001817279,0.060801049
53039950101,0,-0.080134680,0.080134680,0,0.080134680
53077002101,0,-0.083319134,0.083319134,0,0.083319134
53077001503,9.856896066,0.790206672,0.089219368,0.879426041,0.089219368
53077001801,2.338543950,0.125451255,0.093722179,0.219173434,0.093722179
53077001902,23.781946527,2.185109846,0.095914098,2.281023944,0.095914098
53041972000,0.065885509,-0.102968234,0.110230850,0.007262616,0.110230850
53077003002,7.746095334,0.846308228,0.125451567,0.971759794,0.125451567
53077940002,3.325747290,0.297185399,0.127780606,0.424966006,0.127780606
53077002900,11.508230021,1.559942284,0.148449575,1.708391859,0.148449575
53077000800,8.999081255,1.380407579,0.172570766,1.552978345,0.172570766
53073010900,10.075194578,1.799824523,0.198323519,1.998148042,0.198323519
53001950302,0,-0.243727599,0.243727599,0,0.243727599
53021020103,3.223407918,0.607169768,0.273080690,0.880250457,0.273080690
53063010204,16.232060564,4.218564680,0.276952988,4.495517668,0.276952988
53021020700,3.612508232,0.743506957,0.284595068,1.028102025,0.284595068
53015980000,0,-0.298048278,0.298048278,0,0.298048278
53001950303,22.831190595,7.081443544,0.324372760,7.405816304,0.324372760
53063003900,4.858212830,1.401950757,0.363367916,1.765318674,0.363367916
53031950604,4.305950596,1.209257627,0.365782123,1.575039750,0.365782123
53033032703,3.755002867,1.027052958,0.372795604,1.399848562,0.372795604
53063003800,11.272115860,3.873041441,0.377044174,4.250085616,0.377044174
53001950400,0,-0.385005974,0.385005974,0,0.385005974
53031950202,2.336952750,0.519554505,0.388610970,0.908165475,0.388610970
53033032207,2.702086089,0.711827538,0.418208892,1.130036430,0.418208892
53033024200,11.101499397,4.274711389,0.423175929,4.697887317,0.423175929
53061052701,8.909988803,3.370361428,0.426089279,3.796450708,0.426089279
53033001000,11.379426890,4.538218978,0.437232135,4.975451113,0.437232135
53009001800,13.012612009,5.324619100,0.443252400,5.767871500,0.443252400
53073000402,2.170877333,0.528578001,0.451437556,0.980015557,0.451437556
