Tract,Median Value,Difference,Franken,Ofm,Reference Line
53005012000,0.843975391,-0.187087095,1.199087096,1.012000001,1.199087096
53059950100,0.553483396,-41.144871469,92.146341463,51.001469994,92.146341463
53077940008,0.949976288,-6.040745596,120.757643738,114.716898142,120.757643738
53009940000,0.766363130,-30.979721219,132.597741389,101.618020170,132.597741389
53027940000,0.973162961,-3.644537436,135.802517703,132.157980267,135.802517703
53045940000,1.067471742,10.695344120,158.515902830,169.211246950,158.515902830
53021020101,0.722167831,-44.399379651,159.806475354,115.407095703,159.806475354
53021020201,0.879296281,-21.065693589,174.523981363,153.458287774,174.523981363
53077940007,0.748095548,-50.961110735,202.303334762,151.342224026,202.303334762
53077002004,1.173839623,35.478729038,204.088851360,239.567580398,204.088851360
53021020103,1.116319986,24.193494599,207.990865656,232.184360254,207.990865656
53021020401,1.189015447,44.435510603,235.089307653,279.524818256,235.089307653
53077940006,0.591344017,-98.290402963,240.521140322,142.230737360,240.521140322
53025011403,0.787742455,-53.503238172,252.067544302,198.564306130,252.067544302
53025011404,0.930456533,-17.862428990,256.852725288,238.990296298,256.852725288
53001950302,0.427628230,-156.604198683,273.605734767,117.001536084,273.605734767
53021020402,0.963988661,-11.076464714,307.582698757,296.506234043,307.582698757
53021020102,1.019441257,6.290301116,323.554233315,329.844534431,323.554233315
53065941000,0.580893419,-137.576343519,328.260995370,190.684651852,328.260995370
53015980000,1.036491898,12.108684933,331.818447161,343.927132093,331.818447161
53077002701,0.749059509,-84.901744626,338.334176896,253.432432270,338.334176896
53021020404,0.852560436,-55.361986960,375.489355135,320.127368175,375.489355135
53077001504,0.741115811,-98.120974573,379.014937111,280.893962538,379.014937111
53033023702,1.566087893,216.115761369,381.770682665,597.886444035,381.770682665
53019940000,0.848812851,-58.275597530,385.453378956,327.177781426,385.453378956
53077001502,0.819037249,-69.901818641,386.277387644,316.375569003,386.277387644
53077001901,0.828308226,-67.184914099,391.311199052,324.126284953,391.311199052
53077002005,1.007877140,3.205862978,406.983137146,410.189000125,406.983137146
53021020403,0.875770358,-51.828567754,417.199685432,365.371117678,417.199685432
53005011600,0.883036027,-51.744647974,442.398174192,390.653526218,442.398174192
53077940005,0.822266392,-78.937898630,444.136027021,365.198128391,444.136027021
53033028100,1.112072238,52.800896388,471.132703603,523.933599991,471.132703603
53077002003,0.754906674,-120.944862277,493.464527512,372.519665236,493.464527512
53077001503,1.195279377,97.175084644,497.620825246,594.795909890,497.620825246
53033011002,0.549168559,-225.752017449,500.745947922,274.993930472,500.745947922
53033026300,1.009425678,4.787734398,507.945873273,512.733607670,507.945873273
53057952404,1.156791375,86.353270781,550.752684752,637.105955533,550.752684752
53025011405,0.763609046,-135.862259408,574.735441337,438.873181929,574.735441337
53021020202,0.684340601,-181.938274460,576.375279698,394.437005238,576.375279698
53047940100,0.993615385,-3.881482437,607.943078198,604.061595761,607.943078198
53033026102,0.737789052,-168.594129353,642.971357163,474.377227810,642.971357163
53001950303,0.698081382,-195.782320210,648.460573477,452.678253267,648.460573477
53033009100,0.619385904,-251.897984354,661.819903802,409.921919448,661.819903802
53077940002,0.907582641,-61.202163810,662.236669775,601.034505966,662.236669775
53077002103,0.976490463,-15.612273793,664.082559927,648.470286134,664.082559927
53001950301,0.629658617,-246.858968854,666.571385902,419.712417048,666.571385902
53077002104,0.934184972,-44.588669462,677.484621783,632.895952321,677.484621783
53045960100,0.983480929,-11.210948025,678.666973655,667.456025631,678.666973655
53001950400,0.736752508,-183.182120011,695.855137395,512.673017384,695.855137395
53057952405,1.155096751,109.001904812,702.799408882,811.801313694,702.799408882
53033011001,0.634218709,-265.346907910,725.425040587,460.078132677,725.425040587
53073940002,0.988931643,-8.425119522,761.189682112,752.764562590,761.189682112
53033030007,1.027727074,21.539872375,776.853413327,798.393285702,776.853413327
53077002101,0.893180819,-83.153981918,778.455528949,695.301547031,778.455528949
53033011901,0.661758079,-263.732333093,779.715100640,515.982767548,779.715100640
53047940200,0.845750922,-123.232042233,798.915906788,675.683864555,798.915906788
53049950502,0.907568272,-76.466699836,827.277615470,750.810915635,827.277615470
53053071706,1.020091167,16.655936397,829.017853039,845.673789436,829.017853039
53033011801,0.598624430,-334.255893254,832.775879602,498.519986349,832.775879602
53021020700,1.007539540,6.290130083,834.285633736,840.575763819,834.285633736
53057950100,1.096089842,80.167784723,834.300303193,914.468087916,834.300303193
