Year,ZipCode,fpPopulation,Population,dif,pctDiff
2011,98050,266.011,0.0,266.011,inf
2012,98050,267.966,0.0,267.966,inf
2013,98050,267.742,0.0,267.742,inf
2014,98050,272.569,0.0,272.569,inf
2015,98050,271.735,0.0,271.735,inf
2016,98050,275.396,0.0,275.396,inf
2017,98050,275.24,0.0,275.24,inf
2018,98050,277.823,0.0,277.823,inf
2019,98050,272.679,281.87,-9.191,-0.033
2020,98050,271.318,282.405,-11.087,-0.039
2011,98068,322.646,0.0,322.646,inf
2012,98068,317.972,0.0,317.972,inf
2013,98068,313.371,0.0,313.371,inf
2014,98068,314.945,0.0,314.945,inf
2015,98068,323.376,0.0,323.376,inf
2016,98068,333.807,0.0,333.807,inf
2017,98068,388.798,0.0,388.798,inf
2018,98068,405.577,0.0,405.577,inf
2019,98068,420.858,15.045,405.813,26.973
2020,98068,417.772,477.888,-60.116,-0.126
2011,98222,35.41,0.0,35.41,inf
2012,98222,38.407,0.0,38.407,inf
2013,98222,37.835,0.0,37.835,inf
2014,98222,39.274,0.0,39.274,inf
2015,98222,38.843,0.0,38.843,inf
2016,98222,40.107,0.0,40.107,inf
2017,98222,40.558,43.155,-2.597,-0.06
2018,98222,40.502,43.211,-2.709,-0.063
2019,98222,40.654,43.718,-3.064,-0.07
2020,98222,42.065,45.002,-2.937,-0.065
2011,98235,157.583,0.0,157.583,inf
2012,98235,164.385,0.0,164.385,inf
2013,98235,170.749,0.0,170.749,inf
2014,98235,178.871,0.0,178.871,inf
2015,98235,188.281,0.0,188.281,inf
2016,98235,201.913,0.0,201.913,inf
2017,98235,216.532,0.0,216.532,inf
2018,98235,233.161,0.0,233.161,inf
2019,98235,253.594,0.0,253.594,inf
2020,98235,188.698,130.98,57.718,0.441
2011,98255,198.698,0.0,198.698,inf
2012,98255,200.623,0.0,200.623,inf
2013,98255,205.009,0.0,205.009,inf
2014,98255,207.907,0.0,207.907,inf
2015,98255,209.819,0.0,209.819,inf
2016,98255,211.798,0.0,211.798,inf
2017,98255,210.973,0.0,210.973,inf
2018,98255,213.646,208.488,5.157,0.025
2019,98255,216.015,208.489,7.526,0.036
2020,98255,215.759,206.777,8.982,0.043
2011,98256,162.644,0.0,162.644,inf
2012,98256,159.622,0.0,159.622,inf
2013,98256,156.666,0.0,156.666,inf
2014,98256,153.852,0.0,153.852,inf
2015,98256,136.962,0.0,136.962,inf
2016,98256,137.687,0.0,137.687,inf
2017,98256,142.281,0.0,142.281,inf
2018,98256,139.308,0.0,139.308,inf
2019,98256,136.308,162.186,-25.878,-0.16
2020,98256,133.16,162.189,-29.029,-0.179
