Year,ZipCode,fpPopulation,Population,dif,pctDiff
2011,00072,18.527,20.08,-1.552,-0.077
2012,00072,17.983,20.115,-2.132,-0.106
2013,00072,17.448,20.145,-2.697,-0.134
2014,00072,16.959,20.242,-3.283,-0.162
2015,00072,16.343,20.127,-3.783,-0.188
2016,00072,15.871,20.242,-4.371,-0.216
2017,00072,15.405,20.385,-4.98,-0.244
2018,00072,14.905,20.508,-5.603,-0.273
2019,00072,14.472,20.826,-6.354,-0.305
2020,00072,13.983,20.877,-6.894,-0.33
2011,00073,6.306,1.859,4.447,2.392
2012,00073,5.712,1.845,3.867,2.096
2013,00073,5.213,1.862,3.351,1.8
2014,00073,4.724,1.86,2.864,1.54
2015,00073,4.123,1.853,2.27,1.225
2016,00073,3.588,1.841,1.747,0.949
2017,00073,3.059,1.844,1.215,0.659
2018,00073,2.496,1.82,0.676,0.372
2019,00073,1.962,1.864,0.098,0.053
2020,00073,1.374,1.868,-0.495,-0.265
2011,00074,61.566,43.222,18.344,0.424
2012,00074,71.013,45.181,25.832,0.572
2013,00074,78.064,45.12,32.944,0.73
2014,00074,85.105,45.148,39.957,0.885
2015,00074,92.643,45.113,47.53,1.054
2016,00074,96.574,44.628,51.946,1.164
2017,00074,102.228,44.821,57.407,1.281
2018,00074,110.715,46.268,64.448,1.393
2019,00074,116.007,46.327,69.68,1.504
2020,00074,121.152,46.355,74.798,1.614
2011,00076,15.142,19.071,-3.929,-0.206
2012,00076,14.057,19.131,-5.074,-0.265
2013,00076,12.846,19.027,-6.18,-0.325
2014,00076,11.744,18.991,-7.247,-0.382
2015,00076,10.586,18.947,-8.361,-0.441
2016,00076,9.439,18.713,-9.274,-0.496
2017,00076,8.397,20.789,-12.393,-0.596
2018,00076,7.327,20.902,-13.575,-0.649
2019,00076,6.14,20.884,-14.744,-0.706
2020,00076,4.898,20.915,-16.017,-0.766
2011,98001,31708.673,31797.177,-88.504,-0.003
2012,98001,32005.125,32023.804,-18.679,-0.001
2013,98001,32498.088,32440.805,57.283,0.002
2014,98001,33245.926,33120.546,125.379,0.004
2015,98001,33600.805,33373.855,226.95,0.007
2016,98001,34180.145,33742.035,438.11,0.013
2017,98001,34867.737,34297.794,569.943,0.017
2018,98001,35553.795,34888.979,664.816,0.019
2019,98001,35825.486,35393.048,432.439,0.012
2020,98001,36291.377,35718.098,573.279,0.016
2011,98002,32465.847,32093.035,372.813,0.012
2012,98002,33151.12,32129.863,1021.257,0.032
2013,98002,34099.084,32470.823,1628.26,0.05
2014,98002,35027.324,32771.606,2255.718,0.069
2015,98002,35848.429,32953.668,2894.761,0.088
2016,98002,37157.871,33587.844,3570.027,0.106
2017,98002,38598.503,34440.027,4158.475,0.121
2018,98002,39626.317,34910.449,4715.868,0.135
2019,98002,40529.502,35216.987,5312.515,0.151
2020,98002,41352.537,35291.869,6060.667,0.172
2011,98003,44447.727,43852.748,594.98,0.014
2012,98003,44976.75,43893.399,1083.351,0.025
2013,98003,45576.884,43984.916,1591.967,0.036
2014,98003,46370.888,44259.547,2111.341,0.048
2015,98003,47206.844,44604.202,2602.642,0.058
2016,98003,49479.253,46882.616,2596.638,0.055
2017,98003,51830.693,48736.632,3094.062,0.063
2018,98003,52896.323,49326.959,3569.364,0.072
2019,98003,53538.738,49448.639,4090.099,0.083
2020,98003,54533.594,49730.758,4802.836,0.097
2011,98004,28756.233,29022.7,-266.468,-0.009
2012,98004,29645.957,29847.695,-201.738,-0.007
2013,98004,30291.484,30365.911,-74.427,-0.002
2014,98004,31139.502,31095.533,43.968,0.001
2015,98004,31763.301,31676.623,86.679,0.003
2016,98004,34677.739,32961.611,1716.128,0.052
2017,98004,34691.617,33578.897,1112.72,0.033
2018,98004,35339.072,33862.856,1476.215,0.044
2019,98004,36398.358,34724.358,1674.0,0.048
2020,98004,38191.467,36243.833,1947.634,0.054
2011,98005,17300.843,17324.938,-24.095,-0.001
2012,98005,17351.448,17381.877,-30.43,-0.002
2013,98005,17708.125,17756.518,-48.393,-0.003
2014,98005,18075.381,18138.536,-63.155,-0.003
2015,98005,17983.861,18041.676,-57.816,-0.003
2016,98005,18596.88,18675.631,-78.752,-0.004
2017,98005,18654.351,18706.845,-52.494,-0.003
2018,98005,19072.305,19052.995,19.311,0.001
2019,98005,19669.391,19683.838,-14.447,-0.001
2020,98005,20277.251,20140.228,137.023,0.007
2011,98006,37494.558,36324.231,1170.327,0.032
2012,98006,37742.624,36563.84,1178.785,0.032
2013,98006,38090.184,36939.998,1150.186,0.031
2014,98006,38529.896,38710.702,-180.806,-0.005
2015,98006,38583.321,38787.367,-204.047,-0.005
2016,98006,39203.922,39516.082,-312.16,-0.008
2017,98006,39276.7,39572.384,-295.684,-0.007
2018,98006,39592.432,39924.098,-331.665,-0.008
2019,98006,39943.371,40272.958,-329.587,-0.008
2020,98006,40204.292,40394.808,-190.516,-0.005
2011,98007,25104.287,25175.639,-71.352,-0.003
2012,98007,25158.607,25283.174,-124.567,-0.005
2013,98007,25399.078,25583.598,-184.521,-0.007
2014,98007,25771.31,26018.692,-247.383,-0.01
2015,98007,25744.01,25986.828,-242.818,-0.009
